"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 13","44,027.00","43,977.00","44,030.00","43,919.00","9.14K","0.11%"
"2024- 12- 12","43,977.00","44,199.00","44,272.00","43,941.00","99.96K","-0.55%"
"2024- 12- 11","44,222.00","44,335.00","44,442.00","44,181.00","87.56K","-0.25%"
"2024- 12- 10","44,335.00","44,489.00","44,553.00","44,261.00","82.77K","-0.32%"
"2024- 12- 09","44,479.00","44,709.00","44,809.00","44,451.00","91.10K","-0.51%"
"2024- 12- 06","44,706.00","44,854.00","44,984.00","44,660.00","75.94K","-0.36%"
"2024- 12- 05","44,867.00","45,094.00","45,154.00","44,812.00","82.28K","-0.53%"
"2024- 12- 04","45,106.00","44,903.00","45,176.00","44,871.00","96.58K","0.67%"
"2024- 12- 03","44,808.00","44,891.00","44,987.00","44,680.00","80.74K","-0.22%"
"2024- 12- 02","44,905.00","45,048.00","45,138.00","44,820.00","85.54K","-0.33%"
"2024- 11- 29","45,055.00","44,846.00","45,171.00","44,820.00","90.52K","0.51%"
"2024- 11- 27","44,828.00","44,975.00","45,121.00","44,790.00","98.54K","-0.27%"
"2024- 11- 26","44,951.00","44,849.00","45,002.00","44,532.00","120.24K","0.28%"
"2024- 11- 25","44,826.00","44,499.00","44,915.00","44,490.00","118.68K","0.97%"
"2024- 11- 22","44,395.00","43,989.00","44,452.00","43,818.00","126.56K","0.92%"
"2024- 11- 21","43,989.00","43,567.00","44,146.00","43,383.00","137.12K","1.09%"
"2024- 11- 20","43,516.00","43,403.00","43,590.00","43,181.00","104.01K","0.27%"
"2024- 11- 19","43,400.00","43,540.00","43,622.00","42,991.00","124.81K","-0.32%"
"2024- 11- 18","43,540.00","43,581.00","43,654.00","43,398.00","100.13K","-0.06%"
"2024- 11- 15","43,568.00","43,901.00","43,911.00","43,478.00","132.27K","-0.76%"
"2024- 11- 14","43,901.00","44,131.00","44,261.00","43,816.00","113.56K","-0.47%"
"2024- 11- 13","44,108.00","44,071.00","44,280.00","43,897.00","117.34K","0.08%"
"2024- 11- 12","44,074.00","44,438.00","44,556.00","44,039.00","126.58K","-0.83%"
"2024- 11- 11","44,441.00","44,152.00","44,625.00","44,142.00","100.78K","0.68%"
"2024- 11- 08","44,141.00","43,941.00","44,300.00","43,854.00","112.83K","0.53%"
"2024- 11- 07","43,910.00","43,958.00","44,020.00","43,806.00","104.53K","0.02%"
"2024- 11- 06","43,901.00","42,440.00","43,965.00","42,416.00","184.77K","3.59%"
"2024- 11- 05","42,381.00","42,000.00","42,460.00","41,917.00","95.86K","1.01%"
"2024- 11- 04","41,956.00","42,150.00","42,277.00","41,791.00","114.20K","-0.60%"
"2024- 11- 01","42,209.00","41,971.00","42,495.00","41,893.00","117.55K","0.62%"
"2024- 10- 31","41,947.00","42,332.00","42,357.00","41,873.00","154.93K","-0.98%"
"2024- 10- 30","42,363.00","42,522.00","42,660.00","42,292.00","121.54K","-0.20%"
"2024- 10- 29","42,447.00","42,643.00","42,697.00","42,364.00","105.16K","-0.37%"
"2024- 10- 28","42,606.00","42,360.00","42,690.00","42,360.00","104.64K","0.67%"
"2024- 10- 25","42,321.00","42,615.00","42,811.00","42,245.00","110.65K","-0.67%"
"2024- 10- 24","42,605.00","42,678.00","42,747.00","42,410.00","105.91K","-0.31%"
"2024- 10- 23","42,738.00","42,998.00","43,065.00","42,512.00","130.30K","-1.00%"
"2024- 10- 22","43,169.00","43,193.00","43,284.00","42,946.00","110.91K","-0.02%"
"2024- 10- 21","43,177.00","43,541.00","43,578.00","43,111.00","112.15K","-0.78%"
"2024- 10- 18","43,518.00","43,488.00","43,581.00","43,286.00","87.06K","0.02%"
"2024- 10- 17","43,511.00","43,341.00","43,550.00","43,254.00","105.21K","0.39%"
"2024- 10- 16","43,342.00","43,009.00","43,369.00","42,937.00","89.84K","0.76%"
"2024- 10- 15","43,015.00","43,400.00","43,445.00","42,964.00","138.66K","-0.80%"
"2024- 10- 14","43,363.00","43,110.00","43,421.00","42,986.00","83.23K","0.51%"
"2024- 10- 11","43,143.00","42,752.00","43,180.00","42,666.00","118.55K","0.93%"
"2024- 10- 10","42,746.00","42,805.00","42,850.00","42,587.00","99.98K","-0.16%"
"2024- 10- 09","42,813.00","42,375.00","42,864.00","42,254.00","106.76K","1.03%"
"2024- 10- 08","42,375.00","42,260.00","42,427.00","42,091.00","80.03K","0.31%"
"2024- 10- 07","42,245.00","42,640.00","42,704.00","42,117.00","119.73K","-0.94%"
"2024- 10- 04","42,646.00","42,280.00","42,667.00","42,252.00","116.87K","0.78%"
"2024- 10- 03","42,317.00","42,549.00","42,575.00","42,142.00","135.66K","-0.45%"
"2024- 10- 02","42,510.00","42,456.00","42,581.00","42,285.00","116.86K","0.07%"
"2024- 10- 01","42,479.00","42,605.00","42,656.00","42,251.00","164.85K","-0.38%"
"2024- 09- 30","42,643.00","42,648.00","42,715.00","42,245.00","135.31K","-0.03%"
"2024- 09- 27","42,656.00","42,538.00","43,005.00","42,489.00","139.04K","0.24%"
"2024- 09- 26","42,555.00","42,276.00","42,594.00","42,231.00","112.72K","0.66%"
"2024- 09- 25","42,276.00","42,563.00","42,679.00","42,206.00","123.73K","-0.75%"
"2024- 09- 24","42,597.00","42,485.00","42,656.00","42,409.00","113.32K","0.23%"
"2024- 09- 23","42,501.00","42,475.00","42,562.00","42,321.00","91.63K","0.14%"
"2024- 09- 20","42,443.00","42,467.00","42,537.00","42,249.00","114.93K","-0.01%"
"2024- 09- 19","42,447.00","41,951.00","42,583.00","41,951.00","158.10K","1.28%"
"2024- 09- 18","41,909.00","42,050.00","42,416.00","41,850.00","136.24K","-0.30%"
"2024- 09- 17","42,037.00","42,041.00","42,270.00","41,893.00","135.72K","-0.05%"
"2024- 09- 16","42,057.00","41,838.00","42,184.00","41,795.00","126.47K","0.55%"
"2024- 09- 13","41,825.00","41,532.00","41,966.00","41,518.00","49.11K","0.70%"
"2024- 09- 12","41,536.00","41,257.00","41,544.00","41,092.00","6.46K","0.59%"
"2024- 09- 11","41,292.00","41,168.00","41,329.00","40,420.00","5.07K","0.26%"
"2024- 09- 10","41,186.00","41,269.00","41,367.00","40,848.00","3.90K","-0.21%"
"2024- 09- 09","41,271.00","40,716.00","41,450.00","40,716.00","2.48K","1.17%"
"2024- 09- 06","40,792.00","41,266.00","41,452.00","40,674.00","2.38K","-1.03%"
"2024- 09- 05","41,217.00","41,420.00","41,557.00","40,982.00","0.84K","-0.55%"
"2024- 09- 04","41,444.00","41,362.00","41,640.00","41,238.00","1.75K","0.10%"
"2024- 09- 03","41,403.00","42,015.00","42,039.00","41,271.00","0.94K","-1.53%"
"2024- 08- 30","42,046.00","41,875.00","42,065.00","41,650.00","0.29K","0.51%"
"2024- 08- 29","41,831.00","41,587.00","42,070.00","41,550.00","0.76K","0.64%"
"2024- 08- 28","41,566.00","41,714.00","41,830.00","41,322.00","0.48K","-0.42%"
"2024- 08- 27","41,743.00","41,659.00","41,768.00","41,595.00","0.17K","0.05%"
"2024- 08- 26","41,722.00","41,651.00","41,900.00","41,615.00","0.28K","0.17%"
"2024- 08- 23","41,652.00","41,257.00","41,680.00","41,257.00","0.35K","1.07%"
"2024- 08- 22","41,213.00","41,360.00","41,533.00","41,080.00","0.41K","-0.42%"
"2024- 08- 21","41,386.00","41,341.00","41,465.00","41,240.00","0.34K","0.13%"
"2024- 08- 20","41,334.00","41,400.00","41,449.00","41,279.00","0.20K","-0.18%"
"2024- 08- 19","41,407.00","41,214.00","41,433.00","41,149.00","0.27K","0.56%"
"2024- 08- 16","41,175.00","41,095.00","41,217.00","40,951.00","0.16K","0.28%"
"2024- 08- 15","41,061.00","40,525.00","41,080.00","40,491.00","0.25K","1.42%"
"2024- 08- 14","40,486.00","40,235.00","40,556.00","40,157.00","0.16K","0.58%"
"2024- 08- 13","40,252.00","39,908.00","40,235.00","39,783.00","0.14K","1.04%"
"2024- 08- 12","39,836.00","39,928.00","40,070.00","39,748.00","0.13K","-0.40%"
"2024- 08- 09","39,997.00","39,969.00","40,120.00","39,738.00","0.16K","0.10%"
"2024- 08- 08","39,956.00","39,174.00","40,008.00","39,090.00","0.40K","1.78%"
"2024- 08- 07","39,257.00","39,491.00","39,938.00","39,128.00","0.22K","-0.60%"
"2024- 08- 06","39,492.00","39,405.00","39,893.00","39,148.00","0.33K","0.78%"
"2024- 08- 05","39,185.00","40,066.00","40,066.00","38,900.00","0.55K","-1.43%"
"2024- 08- 03","39,755.00","39,755.00","39,755.00","39,755.00","","-1.20%"
"2024- 08- 02","40,239.00","40,772.00","40,821.00","39,904.00","0.53K","-1.64%"
"2024- 08- 01","40,909.00","41,567.00","41,605.00","40,683.00","0.40K","-1.39%"
"2024- 07- 31","41,484.00","41,217.00","41,800.00","41,190.00","0.10K","0.28%"
"2024- 07- 30","41,368.00","41,178.00","41,494.00","41,107.00","0.09K","0.46%"
"2024- 07- 29","41,178.00","41,300.00","41,412.00","41,053.00","0.10K","0.80%"
"2024- 07- 27","40,852.00","40,852.00","40,852.00","40,852.00","","-0.93%"
"2024- 07- 26","41,235.00","40,692.00","41,380.00","40,692.00","0.13K","1.58%"
"2024- 07- 25","40,593.00","40,612.00","41,002.00","40,514.00","0.17K","0.20%"
"2024- 07- 24","40,510.00","40,965.00","40,965.00","40,478.00","0.15K","-1.23%"
"2024- 07- 23","41,014.00","41,057.00","41,180.00","40,967.00","0.10K","-0.18%"
"2024- 07- 22","41,089.00","41,047.00","41,107.00","40,888.00","0.11K","1.33%"
"2024- 07- 20","40,550.00","40,550.00","40,550.00","40,550.00","","-0.99%"
"2024- 07- 19","40,954.00","41,374.00","41,374.00","40,871.00","0.10K","-0.97%"
"2024- 07- 18","41,355.00","41,976.00","42,048.00","41,324.00","0.39K","-1.28%"
"2024- 07- 17","41,893.00","41,665.00","41,911.00","41,511.00","0.38K","0.62%"
"2024- 07- 16","41,634.00","40,960.00","41,668.00","40,960.00","0.17K","1.81%"
"2024- 07- 15","40,893.00","40,745.00","41,016.00","40,745.00","0.04K","1.41%"
"2024- 07- 13","40,325.00","40,325.00","40,325.00","40,325.00","","-0.88%"
"2024- 07- 12","40,684.00","40,506.00","40,948.00","40,483.00","0.13K","0.52%"
"2024- 07- 11","40,473.00","40,385.00","40,558.00","40,361.00","0.08K","0.10%"
"2024- 07- 10","40,432.00","39,969.00","40,444.00","39,962.00","0.06K","1.12%"
"2024- 07- 09","39,983.00","40,095.00","40,199.00","39,890.00","0.02K","-0.13%"
"2024- 07- 08","40,037.00","40,003.00","40,356.00","39,991.00","0.04K","-0.10%"
"2024- 07- 05","40,077.00","40,068.00","40,109.00","39,898.00","0.02K","0.14%"
"2024- 07- 03","40,022.00","40,050.00","40,135.00","39,970.00","0.02K","-0.12%"
"2024- 07- 02","40,069.00","39,833.00","40,008.00","39,757.00","0.03K","0.43%"
"2024- 07- 01","39,898.00","39,885.00","40,135.00","39,817.00","0.07K","0.95%"
"2024- 06- 29","39,524.00","39,524.00","39,524.00","39,524.00","","-0.82%"
"2024- 06- 28","39,850.00","39,960.00","40,200.00","39,745.00","0.06K","-0.22%"
"2024- 06- 27","39,939.00","39,824.00","40,021.00","39,813.00","0.02K","0.02%"
"2024- 06- 26","39,930.00","39,906.00","39,960.00","39,690.00","0.06K","0.06%"
"2024- 06- 25","39,908.00","40,263.00","40,270.00","39,785.00","0.04K","-0.80%"
"2024- 06- 24","40,229.00","39,853.00","40,371.00","39,853.00","0.16K","1.62%"
"2024- 06- 22","39,586.00","39,586.00","39,586.00","39,586.00","","-0.89%"
"2024- 06- 21","39,943.00","40,027.00","40,027.00","39,928.00","0.07K","0.04%"
"2024- 06- 20","39,928.00","39,735.00","39,976.00","39,682.00","0.02K","0.73%"
"2024- 06- 18","39,640.00","39,605.00","39,605.00","39,605.00","0.03K","0.12%"
