﻿일,유종,WTI
02월 07일,,73.86
02월 08일,,76.22
02월 09일,,76.84
02월 12일,,76.92
02월 13일,,77.87
02월 14일,,76.64
02월 15일,,78.03
02월 16일,,79.19
02월 20일,,78.18
02월 21일,,77.91
02월 22일,,78.61
02월 23일,,76.49
02월 26일,,77.58
02월 27일,,78.87
02월 28일,,78.54
02월 29일,,78.26
03월 01일,,79.97
03월 04일,,78.74
03월 05일,,78.15
03월 06일,,79.13
03월 07일,,78.93
03월 08일,,78.01
03월 11일,,77.93
03월 12일,,77.56
03월 13일,,79.72
03월 14일,,81.26
03월 15일,,81.04
03월 18일,,82.72
03월 19일,,83.47
03월 20일,,81.68
03월 21일,,81.07
03월 22일,,80.63
03월 25일,,81.95
03월 26일,,81.62
03월 27일,,81.35
03월 28일,,83.17
04월 01일,,83.71
04월 02일,,85.15
04월 03일,,85.43
04월 04일,,86.59
04월 05일,,86.91
04월 08일,,86.43
04월 09일,,85.23
04월 10일,,86.21
04월 11일,,85.02
04월 12일,,85.66
04월 15일,,85.41
04월 16일,,85.36
04월 17일,,82.69
04월 18일,,82.73
04월 19일,,83.14
04월 22일,,82.85
04월 23일,,83.36
04월 24일,,82.81
04월 25일,,83.57
04월 26일,,83.85
04월 29일,,82.63
04월 30일,,81.93
05월 01일,,79.00
05월 02일,,78.95
05월 03일,,78.11
05월 06일,,78.48
05월 07일,,78.38
05월 08일,,78.99
05월 09일,,79.26
05월 10일,,78.26
05월 13일,,79.12
05월 14일,,78.02
05월 15일,,78.63
05월 16일,,79.23
05월 17일,,80.06
05월 20일,,79.80
05월 21일,,79.26
05월 22일,,77.57
05월 23일,,76.87
05월 24일,,77.72
05월 28일,,79.83
05월 29일,,79.23
05월 30일,,77.91
05월 31일,,76.99
06월 03일,,74.22
06월 04일,,73.25
06월 05일,,74.07
06월 06일,,75.55
06월 07일,,75.53
06월 10일,,77.74
06월 11일,,77.90
06월 12일,,78.50
06월 13일,,78.62
06월 14일,,78.45
06월 17일,,80.33
06월 18일,,81.57
06월 20일,,82.17
06월 21일,,80.73
06월 24일,,81.63
06월 25일,,80.83
06월 26일,,80.90
06월 27일,,81.74
06월 28일,,81.54
07월 01일,,83.38
07월 02일,,82.81
07월 03일,,83.88
07월 05일,,83.16
07월 08일,,82.33
07월 09일,,81.41
07월 10일,,82.10
07월 11일,,82.62
07월 12일,,82.21
07월 15일,,81.91
07월 16일,,80.76
07월 17일,,82.85
07월 18일,,82.82
07월 19일,,80.13
07월 22일,,79.78
07월 23일,,76.96
07월 24일,,77.59
07월 25일,,78.28
07월 26일,,77.16
07월 29일,,75.81
07월 30일,,74.73
07월 31일,,77.91
08월 01일,,76.31
08월 02일,,73.52
08월 05일,,72.94
08월 06일,,73.20
08월 07일,,75.23
08월 08일,,76.19
08월 09일,,76.84
08월 12일,,80.06
08월 13일,,78.35
08월 14일,,76.98
08월 15일,,78.16
08월 16일,,76.65
08월 19일,,74.37
08월 20일,,74.04
08월 21일,,71.93
08월 22일,,73.01
08월 23일,,74.83
08월 26일,,77.42
08월 27일,,75.53
08월 28일,,74.52
08월 29일,,75.91
08월 30일,,73.55
09월 03일,,70.34
