변환,원자료
"2022/12","91.9"
"2023/01","90.4"
"2023/02","91.5"
"2023/03","91.7"
"2023/04","94.2"
"2023/05","94.6"
"2023/06","96.1"
"2023/07","94.5"
"2023/08","94.4"
"2023/09","93.1"
"2023/10","92.1"
"2023/11","91.5"
"2023/12","91.4"
"2024/01","91.5"
"2024/02","93.3"
"2024/03","92.2"
"2024/04","94.5"
"2024/05","93.8"
"2024/06","94.7"
"2024/07","95.9"
"2024/08","94.2"
"2024/09","93.7"
"2024/10","92.5"
"2024/11","92.7"
