Date,Closing_Price,Change,Fluctuation_Rate,Opening_Price,High,Low,Volume,Trading_Value,Market_Cap
2023-10-06,2408.73,5.13,0.21,2408.81,2421.18,2403.92,289392,6522751.0,1916147548.0
2023-10-10,2402.58,-6.15,-0.26,2436.58,2448.24,2402.44,416004,9505946.0,1912039051.0
2023-10-11,2450.08,47.5,1.98,2436.52,2463.56,2436.52,446949,9140843.0,1949663797.0
2023-10-12,2479.82,29.74,1.21,2465.19,2479.82,2464.84,515452,8929118.0,1973336799.0
2023-10-13,2456.15,-23.67,-0.95,2460.85,2466.62,2452.83,582884,7164460.0,1955250761.0
2023-10-16,2436.24,-19.91,-0.81,2442.43,2453.77,2422.52,788356,8393100.0,1939007777.0
2023-10-17,2460.17,23.93,0.98,2454.14,2466.87,2449.42,509375,7711250.0,1958109580.0
2023-10-18,2462.6,2.43,0.1,2452.05,2465.33,2450.78,911546,8897571.0,1960050711.0
2023-10-19,2415.8,-46.8,-1.9,2431.92,2433.45,2412.55,756947,9054474.0,1923750596.0
2023-10-20,2375.0,-40.8,-1.69,2391.54,2394.67,2364.01,521208,9295958.0,1892280648.0
2023-10-23,2357.02,-17.98,-0.76,2370.07,2375.79,2354.7,395930,7117567.0,1877779360.0
2023-10-24,2383.51,26.49,1.12,2371.55,2384.14,2326.67,444165,7949285.0,1898106190.0
2023-10-25,2363.17,-20.34,-0.85,2389.23,2389.9,2362.69,440807,7832203.0,1882419020.0
2023-10-26,2299.08,-64.09,-2.71,2325.82,2330.55,2299.08,531073,9251519.0,1832032727.0
2023-10-27,2302.81,3.73,0.16,2311.59,2321.84,2293.05,514876,8009948.0,1834541641.0
2023-10-30,2310.55,7.74,0.34,2292.34,2317.75,2292.34,444842,6954633.0,1840684679.0
2023-10-31,2277.99,-32.56,-1.41,2318.39,2322.45,2273.97,394982,8233073.0,1815424104.0
2023-11-01,2301.56,23.57,1.03,2292.89,2312.15,2288.64,358157,6739278.0,1835317636.0
2023-11-02,2343.12,41.56,1.81,2334.96,2351.91,2333.41,377462,7679305.0,1868116867.0
2023-11-03,2368.34,25.22,1.08,2365.59,2370.28,2351.83,578662,8040958.0,1887967827.0
2023-11-06,2502.37,134.03,5.66,2399.8,2502.37,2395.03,528585,15225480.0,1991919718.0
2023-11-07,2443.96,-58.41,-2.33,2476.35,2476.35,2418.74,457676,12086570.0,1947075247.0
2023-11-08,2421.62,-22.34,-0.91,2460.22,2468.43,2418.14,467217,7667332.0,1929362640.0
2023-11-09,2427.08,5.46,0.23,2425.93,2437.9,2413.04,395031,7288448.0,1933622736.0
2023-11-10,2409.66,-17.42,-0.72,2406.4,2413.62,2393.64,312468,5825602.0,1923177297.0
2023-11-13,2403.76,-5.9,-0.24,2431.24,2435.32,2399.04,307123,5934173.0,1918619319.0
2023-11-14,2433.25,29.49,1.23,2424.93,2442.37,2422.97,306964,6382101.0,1942197248.0
2023-11-15,2486.67,53.42,2.2,2482.21,2487.42,2468.43,419843,9328219.0,1984033041.0
2023-11-16,2488.18,1.51,0.06,2483.48,2491.98,2472.69,407441,6806414.0,1985488314.0
2023-11-17,2469.85,-18.33,-0.74,2477.43,2481.1,2463.59,388974,8129523.0,1974347791.0
2023-11-20,2491.2,21.35,0.86,2464.72,2499.75,2464.04,323806,6586445.0,1990537959.0
2023-11-21,2510.42,19.22,0.77,2504.7,2517.74,2500.91,345055,7713377.0,2005723542.0
2023-11-22,2511.7,1.28,0.05,2493.17,2516.72,2490.43,439485,7755316.0,2006109850.0
2023-11-23,2514.96,3.26,0.13,2515.83,2522.2,2507.3,360874,6577868.0,2009135900.0
2023-11-24,2496.63,-18.33,-0.73,2517.88,2521.56,2496.63,359383,6537961.0,1995161446.0
2023-11-27,2495.66,-0.97,-0.04,2501.83,2511.37,2489.18,364744,8376476.0,1994294785.0
2023-11-28,2521.76,26.1,1.05,2506.14,2522.45,2502.26,443090,8753424.0,2017729236.0
2023-11-29,2519.81,-1.95,-0.08,2518.8,2523.98,2501.44,579271,9428200.0,2015729696.0
2023-11-30,2535.29,15.48,0.61,2512.11,2535.29,2507.8,664284,11992488.0,2027777361.0
2023-12-01,2505.01,-30.28,-1.19,2520.49,2520.49,2504.06,516596,8837750.0,2004297453.0
2023-12-04,2514.95,9.94,0.4,2522.22,2525.63,2510.52,498861,8772367.0,2012605764.0
2023-12-05,2494.28,-20.67,-0.82,2507.45,2509.74,2492.55,427067,8300522.0,1995841255.0
2023-12-06,2495.38,1.1,0.04,2503.57,2509.67,2495.38,390989,7685320.0,1996748972.0
2023-12-07,2492.07,-3.31,-0.13,2493.14,2499.73,2481.0,446877,8127636.0,1993881027.0
2023-12-08,2517.85,25.78,1.03,2510.24,2521.58,2507.14,431797,7916793.0,2014785075.0
2023-12-11,2525.36,7.51,0.3,2524.79,2528.89,2512.45,435004,8260508.0,2021014752.0
2023-12-12,2535.27,9.91,0.39,2535.11,2543.06,2529.74,378034,7732530.0,2029469553.0
2023-12-13,2510.66,-24.61,-0.97,2531.23,2531.23,2509.89,377934,7513617.0,2010099879.0
2023-12-14,2544.18,33.52,1.34,2547.74,2549.65,2532.16,530123,12960671.0,2036471107.0
2023-12-15,2563.56,19.38,0.76,2558.44,2574.23,2555.3,465314,12873295.0,2052134144.0
2023-12-18,2566.86,3.3,0.13,2568.77,2573.13,2556.05,384828,10181568.0,2053934297.0
2023-12-19,2568.55,1.69,0.07,2564.81,2570.06,2556.52,392497,8418111.0,2054764999.0
2023-12-20,2614.3,45.75,1.78,2586.99,2615.38,2584.85,570423,11202543.0,2091168204.0
2023-12-21,2600.02,-14.28,-0.55,2598.37,2610.81,2587.16,578335,9467809.0,2080482828.0
2023-12-22,2599.51,-0.51,-0.02,2617.72,2621.37,2599.51,465967,8848288.0,2082855845.0
2023-12-26,2602.59,3.08,0.12,2609.44,2612.14,2594.65,440428,9582766.0,2085608165.0
2023-12-27,2613.5,10.91,0.42,2599.35,2613.5,2590.08,349733,10359764.0,2093997127.0
2023-12-28,2655.28,41.78,1.6,2616.27,2655.28,2611.72,460087,9418930.0,2126372516.0
2024-01-02,2669.81,14.53,0.55,2645.47,2675.8,2641.88,409872,9628190.0,2147223895.0
2024-01-03,2607.31,-62.5,-2.34,2643.54,2643.72,2607.31,463132,10121578.0,2096573474.0
2024-01-04,2587.02,-20.29,-0.78,2592.44,2602.64,2580.09,770176,8992274.0,2081862660.0
2024-01-05,2578.08,-8.94,-0.35,2586.89,2592.29,2572.6,522290,8384473.0,2075148803.0
