일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2024-10-14,2623.29,26.38,1.02,2602.63,2628.54,2602.63,401706,8525414,2.13844959E9
2024-10-11,2596.91,-2.25,-0.09,2612.02,2621.93,2594.43,491276,9548436,2.11689947E9
2024-10-10,2599.16,4.8,0.19,2611.65,2613.61,2596.86,618560,1.3867594E7,2.118769902E9
2024-10-08,2594.36,-16.02,-0.61,2592.65,2601.96,2581.79,318240,9168276,2.116186428E9
2024-10-07,2610.38,40.67,1.58,2579.2,2611.93,2561.46,343671,1.0378944E7,2.129898509E9
2024-10-04,2569.71,8.02,0.31,2563.7,2585.59,2555.57,414329,1.0016557E7,2.09729917E9
2024-10-02,2561.69,-31.58,-1.22,2566.55,2591.61,2555.46,351004,9607877,2.091253055E9
2024-09-30,2593.27,-56.51,-2.13,2665.24,2668.66,2593.27,358916,1.0806867E7,2.115975531E9
2024-09-27,2649.78,-21.79,-0.82,2674.58,2681.45,2649.78,413004,1.1987018E7,2.162827764E9
2024-09-26,2671.57,75.25,2.9,2630.91,2671.57,2630.3,324889,1.1602406E7,2.179114311E9
2024-09-25,2596.32,-35.36,-1.34,2652.71,2663.36,2596.32,454472,1.1671497E7,2.118800294E9
2024-09-24,2631.68,29.67,1.14,2612.45,2631.68,2597.81,355097,1.0338361E7,2.146552075E9
2024-09-23,2602.01,8.64,0.33,2596.47,2603.57,2588.49,339140,9526459,2.122839425E9
2024-09-20,2593.37,12.57,0.49,2603.83,2619.55,2591.4,495964,1.4276593E7,2.116582293E9
2024-09-19,2580.8,5.39,0.21,2594.67,2598.68,2550.09,385081,1.2871059E7,2.106110322E9
2024-09-13,2575.41,3.32,0.13,2571.81,2584.11,2562.91,358263,8422029,2.101346639E9
2024-09-12,2572.09,58.72,2.34,2547.5,2572.09,2537.87,340479,1.1282357E7,2.09910113E9
2024-09-11,2513.37,-10.06,-0.4,2524.86,2526.13,2493.37,302561,9623016,2.051977998E9
2024-09-10,2523.43,-12.5,-0.49,2542.69,2544.83,2522.48,347650,8421867,2.061808623E9
2024-09-09,2535.93,-8.35,-0.33,2498.67,2543.22,2491.3,270231,7454381,2.071956885E9
2024-09-06,2544.28,-31.22,-1.21,2576.66,2576.94,2529.31,374782,8685310,2.079144168E9
2024-09-05,2575.5,-5.3,-0.21,2598.36,2615.8,2560.65,379003,1.0189751E7,2.103967318E9
2024-09-04,2580.8,-83.83,-3.15,2589.94,2608.13,2578.07,455469,1.137029E7,2.109693405E9
2024-09-03,2664.63,-16.37,-0.61,2683.12,2695.59,2664.63,303460,8978417,2.178330436E9
2024-09-02,2681,6.69,0.25,2683.8,2686.98,2658.31,266993,8669963,2.192680031E9
2024-08-30,2674.31,12.03,0.45,2676.72,2686.51,2668.66,278845,1.0340761E7,2.187461756E9
2024-08-29,2662.28,-27.55,-1.02,2657.18,2672.9,2649.56,288836,1.146472E7,2.178258767E9
2024-08-28,2689.83,0.58,0.02,2690.59,2695.51,2671.59,280774,1.0567478E7,2.200592607E9
2024-08-27,2689.25,-8.76,-0.32,2696.24,2700.18,2681.92,264057,8050720,2.199479584E9
2024-08-26,2698.01,-3.68,-0.14,2716.88,2718.47,2688.79,333688,9087411,2.206549659E9
2024-08-23,2701.69,-5.98,-0.22,2690.8,2712.84,2689.54,330592,8285768,2.210797299E9
2024-08-22,2707.67,6.54,0.24,2710.95,2711.38,2690.35,441756,8946317,2.215412799E9
2024-08-21,2701.13,4.5,0.17,2687.2,2704.98,2684.61,417330,9378558,2.210561176E9
2024-08-20,2696.63,22.27,0.83,2699.74,2706.05,2686.06,484188,8954163,2.206940382E9
2024-08-19,2674.36,-22.87,-0.85,2697.97,2699.84,2664.28,395637,9262568,2.189820559E9
2024-08-16,2697.23,52.73,1.99,2695.49,2699.61,2680.74,385852,1.119293E7,2.208881288E9
2024-08-14,2644.5,23,0.88,2649.11,2653.71,2632.44,328748,8867077,2.164754883E9
2024-08-13,2621.5,3.2,0.12,2624.5,2636.12,2607.52,378532,8965946,2.14543374E9
2024-08-12,2618.3,29.87,1.15,2602.16,2622.86,2602.01,293084,7601222,2.142430302E9
2024-08-09,2588.43,31.7,1.24,2603.08,2603.08,2575.9,475012,9721687,2.118139216E9
2024-08-08,2556.73,-11.68,-0.45,2530.21,2570.34,2518.52,495299,1.1463675E7,2.092077568E9
2024-08-07,2568.41,46.26,1.83,2515.27,2594.83,2510.82,476991,1.308166E7,2.102251051E9
2024-08-06,2522.15,80.6,3.3,2533.34,2578.77,2491.47,567266,1.5535849E7,2.063686211E9
2024-08-05,2441.55,-234.64,-8.77,2611.3,2611.3,2386.96,763778,1.8781701E7,1.997745883E9
2024-08-02,2676.19,-101.49,-3.65,2719.39,2725.05,2666.4,531785,1.3102123E7,2.189768948E9
2024-08-01,2777.68,6.99,0.25,2787.27,2794.11,2772.97,480834,1.0904975E7,2.26841204E9
2024-07-31,2770.69,32.5,1.19,2745.58,2770.7,2733.63,557090,1.2197992E7,2.262832341E9
2024-07-30,2738.19,-27.34,-0.99,2744.4,2754.53,2732.82,392868,1.0199651E7,2.235428827E9
2024-07-29,2765.53,33.63,1.23,2748.32,2776.86,2742.69,456516,1.0963603E7,2.257406067E9
2024-07-26,2731.9,21.25,0.78,2724.99,2738.4,2715.75,516468,1.2971732E7,2.228963595E9
2024-07-25,2710.65,-48.06,-1.74,2721.29,2725.15,2703.86,440318,1.3673709E7,2.212260229E9
2024-07-24,2758.71,-15.58,-0.56,2755.5,2778.31,2748.65,469221,1.105391E7,2.251624859E9
2024-07-23,2774.29,10.78,0.39,2788.83,2796.92,2765.81,423403,1.1526842E7,2.265131154E9
2024-07-22,2763.51,-31.95,-1.14,2790.99,2795.12,2752.63,463878,1.0499644E7,2.255636584E9
2024-07-19,2795.46,-28.89,-1.02,2800.21,2802.68,2776.99,426208,9585235,2.28094959E9
2024-07-18,2824.35,-18.94,-0.67,2805.64,2824.35,2799.02,658375,1.5548196E7,2.304940337E9
2024-07-17,2843.29,-22.8,-0.8,2865.9,2868.58,2841.33,549094,1.3923509E7,2.320318935E9
2024-07-16,2866.09,5.17,0.18,2861.71,2872.21,2857.07,677905,1.2660326E7,2.338465519E9
2024-07-15,2860.92,3.92,0.14,2869.15,2872.9,2848.93,424458,1.2165673E7,2.334446313E9
2024-07-12,2857,-34.35,-1.19,2867.75,2872.25,2844.88,408178,1.4085703E7,2.329431205E9
2024-07-11,2891.35,23.36,0.81,2888.76,2896.43,2879.28,462217,1.4649701E7,2.363627179E9
2024-07-10,2867.99,0.61,0.02,2863.05,2871.56,2858.87,472473,1.1841459E7,2.340811915E9
2024-07-09,2867.38,9.62,0.34,2872.63,2875.37,2854.13,456429,1.1241864E7,2.339688644E9
2024-07-08,2857.76,-4.47,-0.16,2862.58,2868.99,2855.53,425056,9938577,2.335361801E9
2024-07-05,2862.23,37.29,1.32,2836.21,2871.96,2836.21,378159,1.3142275E7,2.33831547E9
2024-07-04,2824.94,30.93,1.11,2817.06,2824.94,2808.88,393739,1.306711E7,2.307278993E9
2024-07-03,2794.01,13.15,0.47,2797.14,2799.7,2774.71,340338,1.0243957E7,2.281636129E9
2024-07-02,2780.86,-23.45,-0.84,2798.65,2805.42,2776.62,538842,1.1648477E7,2.270445338E9
2024-07-01,2804.31,6.49,0.23,2792.96,2805.95,2783.98,459218,9945337,2.289631234E9
2024-06-28,2797.82,13.76,0.49,2792.79,2797.82,2782.4,610550,1.1020138E7,2.283888694E9
2024-06-27,2784.06,-7.99,-0.29,2767.62,2784.33,2761.55,397169,1.0271109E7,2.273422811E9
2024-06-26,2792.05,17.66,0.64,2767.43,2792.07,2762.98,535034,1.1325143E7,2.279120474E9
2024-06-25,2774.39,9.66,0.35,2765.76,2780.42,2765.76,714242,1.1767748E7,2.265008234E9
2024-06-24,2764.73,-19.53,-0.7,2772.85,2782.9,2758.09,594166,1.1082707E7,2.257243669E9
2024-06-21,2784.26,-23.37,-0.83,2794.87,2797,2777.33,631143,1.4492985E7,2.27059331E9
2024-06-20,2807.63,10.3,0.37,2802.1,2812.62,2796.37,758166,1.357697E7,2.289946832E9
2024-06-19,2797.33,33.41,1.21,2786.16,2799.32,2786.16,646706,1.4069564E7,2.280984108E9
2024-06-18,2763.92,19.82,0.72,2765.7,2772.35,2759.03,561975,1.3269478E7,2.254082532E9
2024-06-17,2744.1,-14.32,-0.52,2754.83,2759.86,2741.03,593985,1.2457646E7,2.237952931E9
2024-06-14,2758.42,3.53,0.13,2759.22,2769.16,2750.86,644979,1.6187046E7,2.250826809E9
2024-06-13,2754.89,26.72,0.98,2764.18,2776.72,2752.61,700027,1.9135858E7,2.247116757E9
2024-06-12,2728.17,22.85,0.84,2709.65,2730.3,2707.44,511009,1.1839576E7,2.224929133E9
2024-06-11,2705.32,4.15,0.15,2716.72,2718.88,2702.17,558893,1.177652E7,2.206744123E9
